2016-11-01 16:34:23,288 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@203f980d: startup date [Tue Nov 01 16:34:23 CST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-11-01 16:34:25,522 | INFO  | PListStore:[D:\apache-activemq-5.11.3\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2016-11-01 16:34:25,555 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\apache-activemq-5.11.3\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-11-01 16:34:25,899 | INFO  | Apache ActiveMQ 5.11.3 (localhost, ID:tangbq-PC-51021-1477989265749-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2016-11-01 16:34:25,972 | INFO  | Listening for connections at: tcp://tangbq-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-11-01 16:34:25,976 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2016-11-01 16:34:25,984 | INFO  | Listening for connections at: amqp://tangbq-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-11-01 16:34:25,989 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2016-11-01 16:34:25,999 | INFO  | Listening for connections at: stomp://tangbq-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-11-01 16:34:26,005 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2016-11-01 16:34:26,014 | INFO  | Listening for connections at: mqtt://tangbq-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-11-01 16:34:26,019 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2016-11-01 16:34:26,317 | INFO  | Listening for connections at ws://tangbq-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2016-11-01 16:34:26,318 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2016-11-01 16:34:26,325 | INFO  | Apache ActiveMQ 5.11.3 (localhost, ID:tangbq-PC-51021-1477989265749-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-11-01 16:34:26,328 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2016-11-01 16:34:27,021 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
